year,nominee,studio,oscar,annie,globe,bafta,annie_ind
2014,Big Hero 6,Disney,2,1,1,1,0
2014,How to Train Your Dragon 2,DreamWorks,1,2,2,0,0
2014,Song of the Sea,Cartoon Saloon,1,1,0,0,0
2014,The Book of Life,20th Century Fox,0,1,1,0,0
2014,The Boxtrolls,Laika,1,1,1,1,0
2014,The Lego Movie,Warner Brothers,0,1,1,2,0
2014,When Marnie Was There,Studio Ghibli,1,0,0,0,1
2015,Anomalisa,Other,1,1,1,0,0
2015,Inside Out,Pixar,2,2,2,2,0
2015,Long Way North,Other,0,0,0,0,1
2015,Minions,Illumination,0,0,0,1,0
2015,Miss Hokusai,Other,0,0,0,0,1
2015,Shaun the Sheep Movie,Aardman,1,1,1,1,0
2015,The Boy and the Beast,Studio Chizu,0,0,0,0,1
2015,The Good Dinosaur,Pixar,0,1,1,0,0
2015,The Peanuts Movie,Blue Sky,0,1,1,0,0
2016,Finding Dory,Pixar,0,1,0,1,0
2016,In This Corner of the World,Other,0,0,0,0,1
2016,Kahlil Gibran's The Prophet,Other,0,0,0,0,1
2016,Kubo and the Two Strings,Laika,1,1,1,2,0
2016,Kung Fu Panda 3,DreamWorks,0,1,0,0,0
2016,Moana,Disney,1,1,1,1,0
2016,My Life as a Courgette,Other,1,0,1,1,1
2016,Sing,Illumination,0,0,1,0,0
2016,The Red Turtle,Studio Ghibli,1,0,0,0,2
2016,Your Name,CoMix Wave Films,0,0,0,0,1
2016,Zootopia,Disney,2,2,2,1,0
2017,Captain Underpants: The First Epic Movie,DreamWorks,0,1,0,0,0
2017,Cars 3,Pixar,0,1,0,0,0
2017,Coco,Pixar,2,2,2,2,0
2017,Despicable Me 3,Illumination,0,1,0,0,0
2017,Ferdinand,Blue Sky,1,0,1,0,0
2017,Loving Vincent,Other,1,0,1,0,1
2017,MFKZ,Other,0,0,0,0,1
2017,Napping Princess,Other,0,0,0,0,1
2017,The Big Bad Fox & Other Tales,Other,0,0,0,0,1
2017,The Boss Baby,DreamWorks,1,1,1,0,0
2017,The Breadwinner,Cartoon Saloon,1,0,1,0,2
2018,Buñuel in the Labyrinth of the Turtles,Other,0,0,0,0,1
2018,Early Man,Aardman,0,1,0,0,0
2018,Incredibles 2,Pixar,1,1,1,1,0
2018,Isle of Dogs,Wes Anderson,1,1,1,1,0
2018,Mirai,Studio Chizu,1,0,1,0,2
2018,Okko's Inn,Other,0,0,0,0,1
2018,Ralph Breaks the Internet,Disney,1,1,1,0,0
2018,"Ruben Brandt, Collector",Other,0,0,0,0,1
2018,Spider-Man: Into the Spider-Verse,Sony,2,2,2,2,0
2018,This Magnificent Cake!,Other,0,0,0,0,1
2018,Tito and the Birds,Other,0,0,0,0,1
2019,A Shaun the Sheep Movie: Farmageddon,Aardman,1,0,0,1,1
2019,Frozen II,Disney,0,1,1,1,0
2019,How to Train Your Dragon: The Hidden World,DreamWorks,1,1,1,0,0
